"country_code","country_name","continent","population_2010","population_2011","population_2012","population_2013","population_2014","population_2015","population_2016","population_2017","population_2018","population_2019","deathrate_2010","deathrate_2011","deathrate_2012","deathrate_2013","deathrate_2014","deathrate_2015","deathrate_2016","deathrate_2017","deathrate_2018","deathrate_2019","GDP(US$)_2010","GDP(US$)_2011","GDP(US$)_2012","GDP(US$)_2013","GDP(US$)_2014","GDP(US$)_2015","GDP(US$)_2016","GDP(US$)_2017","GDP(US$)_2018","GDP(US$)_2019","active_HIV_cases_children_2010","active_HIV_cases_children_2011","active_HIV_cases_children_2012","active_HIV_cases_children_2013","active_HIV_cases_children_2014","active_HIV_cases_children_2015","active_HIV_cases_children_2016","active_HIV_cases_children_2017","active_HIV_cases_children_2018","active_HIV_cases_male_adults_2010","active_HIV_cases_male_adults_2011","active_HIV_cases_male_adults_2012","active_HIV_cases_male_adults_2013","active_HIV_cases_male_adults_2014","active_HIV_cases_male_adults_2015","active_HIV_cases_male_adults_2016","active_HIV_cases_male_adults_2017","active_HIV_cases_male_adults_2018","active_HIV_cases_female_adults_2010","active_HIV_cases_female_adults_2011","active_HIV_cases_female_adults_2012","active_HIV_cases_female_adults_2013","active_HIV_cases_female_adults_2014","active_HIV_cases_female_adults_2015","active_HIV_cases_female_adults_2016","active_HIV_cases_female_adults_2017","active_HIV_cases_female_adults_2018","aids_deaths_children_2010","aids_deaths_children_2011","aids_deaths_children_2012","aids_deaths_children_2013","aids_deaths_children_2014","aids_deaths_children_2015","aids_deaths_children_2016","aids_deaths_children_2017","aids_deaths_children_2018","aids_deaths_male_adults_2010","aids_deaths_male_adults_2011","aids_deaths_male_adults_2012","aids_deaths_male_adults_2013","aids_deaths_male_adults_2014","aids_deaths_male_adults_2015","aids_deaths_male_adults_2016","aids_deaths_male_adults_2017","aids_deaths_male_adults_2018","aids_deaths_female_adults_2010","aids_deaths_female_adults_2011","aids_deaths_female_adults_2012","aids_deaths_female_adults_2013","aids_deaths_female_adults_2014","aids_deaths_female_adults_2015","aids_deaths_female_adults_2016","aids_deaths_female_adults_2017","aids_deaths_female_adults_2018"
"SDN","Sudan","Africa",34545013,35349681,36193783,37072550,37977655,38902950,39847440,40813396,41801533,NA,8.122,7.946,7.788,7.649,7.53,7.428,7.34,7.261,NA,NA,1489.87691083872,1672.1032945892,1882.24677012331,1943.91645802007,2163.15589835214,2486.74565866274,2398.10187999332,3015.02442975186,977.273635724417,NA,19000,20000,21000,22000,23000,23000,24000,25000,26000,21000,22000,23000,24000,25000,26000,27000,28000,29000,19000,20000,21000,22000,23000,23000,24000,25000,26000,500,500,500,500,500,500,500,500,1000,1000,1000,1100,1100,1200,1300,1300,1200,1300,1000,1000,1000,1000,1100,1200,1200,1100,1100
"SUR","Suriname","Americas",529131,535179,541245,547291,553273,559143,564888,570496,575991,NA,7.017,7.019,7.039,7.071,7.114,7.164,7.219,7.277,NA,NA,8255.7968587048,8263.17292305383,9201.00878530056,9402.23313695562,9472.00759951427,8561.97417855142,5604.72256934099,5379.11941495353,6234.04492230646,NA,1800,1900,2000,2000,2100,2200,2200,2300,2400,2600,2700,2700,2800,2800,2900,3000,3100,3100,1800,1900,2000,2000,2100,2200,2200,2300,2400,100,100,100,100,100,100,100,100,100,100,100,100,200,200,100,100,100,100,100,100,100,100,100,100,100,100,100
"SWE","Sweden","Europe",9378126,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10183175,NA,9.6,9.5,9.7,9.4,9.2,9.3,9.2,9.1,NA,NA,52817.441365794,60612.8788325926,57874.2864975611,60897.3656252518,59843.5191685082,51397.1917561446,51974.196555344,53744.4290321437,54608.3602546906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE","Switzerland","Europe",7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8516543,NA,8,7.8,8,8,7.8,8.2,7.8,7.9,NA,NA,74605.7745091454,88415.6108120697,83538.2128216758,85112.469599771,86605.5173887467,82081.6092055418,80172.1933039266,80450.0458197413,82796.5471631285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SYR","Syrian Arab Republic","Asia",21362529,21082966,20442541,19584274,18715672,17997408,17453933,17068002,16906283,NA,4.495,4.878,5.229,5.51,5.697,5.771,5.726,5.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,200,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,200,200,200,200,200,200,200,200,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"TJK","Tajikistan","Asia",7527394,7697510,7874835,8059769,8252833,8454028,8663579,8880268,9100837,NA,5.746,5.643,5.542,5.435,5.322,5.201,5.078,4.961,NA,NA,749.552711015842,847.382101810518,969.296473144289,1048.22729256115,1104.17168941376,929.095857223746,802.518004052824,806.041573098044,826.621530538704,NA,2300,2400,2600,2700,2900,3000,3200,3300,3500,6600,7100,7500,7800,8100,8300,8600,8800,8900,2300,2400,2600,2700,2900,3000,3200,3300,3500,100,100,100,100,100,100,100,100,100,500,500,500,500,500,500,500,500,500,100,100,100,100,100,100,100,100,100
"TZA","Tanzania","Africa",44346525,45673338,47052481,48482266,49959822,51482633,53050790,54663906,56318348,NA,9.212,8.751,8.305,7.887,7.503,7.161,6.868,6.622,NA,NA,743.403784726004,781.437014324276,867.867680563228,970.416938425046,1030.09291747653,947.933446487903,966.474622354379,1004.84112066441,1050.67525379846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THA","Thailand","Asia",67195028,67518382,67835957,68144501,68438730,68714511,68971331,69209858,69428524,NA,7.191,7.213,7.241,7.279,7.327,7.389,7.467,7.559,NA,NA,5076.34299245077,5492.11542712668,5860.58061021939,6168.26489540709,5951.88370233604,5840.04694787593,5978.61145407809,6578.18886493522,7273.56320732092,NA,250000,240000,240000,240000,230000,230000,220000,220000,210000,320000,310000,310000,3e+05,290000,290000,280000,270000,270000,250000,240000,240000,240000,230000,230000,220000,220000,210000,500,500,500,500,200,200,200,200,100,17000,16000,15000,14000,14000,13000,12000,12000,11000,9100,8800,7900,8000,8100,7900,8000,7900,7600
"TLS","Timor-Leste","Asia",1093523,1113151,1132994,1153295,1174331,1196302,1219288,1243261,1267972,NA,6.505,6.401,6.332,6.276,6.225,6.169,6.109,6.05,NA,NA,3656.95216287175,5095.48902170505,5879.6998042355,4888.31712614726,3441.65060787802,2585.15391598443,2053.27379585463,2000.60116097907,2035.53390768881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TGO","Togo","Africa",6421679,6595943,6773807,6954721,7137997,7323158,7509952,7698475,7889094,NA,10.175,9.826,9.514,9.244,9.02,8.841,8.695,8.568,NA,NA,533.508791977233,586.328841545214,571.839428880573,621.222259778549,640.113913672591,570.680737075619,597.065458898228,624.544945930112,679.257083602874,NA,54000,54000,55000,56000,57000,58000,58000,59000,60000,34000,34000,34000,35000,35000,35000,35000,35000,35000,54000,54000,55000,56000,57000,58000,58000,59000,60000,1800,1600,1400,1300,1300,1200,1100,1000,1000,1600,1400,1300,1400,1700,1800,1700,1600,1600,2300,2000,1900,1800,1900,1900,1800,1400,1200
