Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,2700 ,2200 , 3400,4000 ,3300 , 4700,5600 ,4800 , 6400,7500 ,6600 , 8400,9600 ,8600 , 11 000,12 000 ,11 000 , 13 000,15 000 ,13 000 , 16 000,17 000 ,16 000 , 19 000,20 000 ,18 000 , 22 000,22 000 ,20 000 , 24 000,24 000 ,22 000 , 26 000,25 000 ,23 000 , 27 000,26 000 ,24 000 , 29 000,27 000 ,25 000 , 30 000,28 000 ,26 000 , 31 000,28 000 ,26 000 , 31 000,28 000 ,25 000 , 31 000,28 000 ,25 000 , 31 000,27 000 ,24 000 , 30 000,26 000 ,23 000 , 30 000,25 000 ,22 000 , 29 000,24 000 ,21 000 , 28 000,23 000 ,19 000 , 26 000,21 000 ,17 000 , 25 000,20 000 ,16 000 , 23 000,19 000 ,15 000 , 22 000,18 000 ,13 000 , 21 000,16 000 ,12 000 , 19 000,14 000 ,10 000 , 17 000
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Burkina Faso,8700 ,5500 , 14 000,10 000 ,6700 , 16 000,12 000 ,8000 , 18 000,14 000 ,9500 , 20 000,15 000 ,11 000 , 22 000,17 000 ,12 000 , 23 000,18 000 ,13 000 , 25 000,19 000 ,15 000 , 25 000,20 000 ,15 000 , 26 000,21 000 ,16 000 , 27 000,21 000 ,17 000 , 27 000,22 000 ,17 000 , 27 000,22 000 ,17 000 , 26 000,21 000 ,17 000 , 26 000,21 000 ,17 000 , 25 000,20 000 ,16 000 , 25 000,20 000 ,15 000 , 24 000,19 000 ,14 000 , 23 000,18 000 ,13 000 , 22 000,17 000 ,12 000 , 21 000,16 000 ,12 000 , 20 000,16 000 ,11 000 , 19 000,15 000 ,10 000 , 18 000,14 000 ,9400 , 17 000,13 000 ,8600 , 17 000,12 000 ,7900 , 15 000,11 000 ,7300 , 14 000,9700 ,6700 , 13 000,9100 ,6300 , 12 000
Burundi,8900 ,3900 , 18 000,11 000 ,5600 , 21 000,14 000 ,7200 , 24 000,16 000 ,9200 , 26 000,18 000 ,11 000 , 29 000,20 000 ,13 000 , 30 000,22 000 ,15 000 , 32 000,23 000 ,16 000 , 32 000,24 000 ,18 000 , 33 000,25 000 ,19 000 , 33 000,26 000 ,20 000 , 33 000,26 000 ,21 000 , 32 000,26 000 ,21 000 , 32 000,26 000 ,21 000 , 31 000,25 000 ,21 000 , 30 000,24 000 ,20 000 , 28 000,23 000 ,19 000 , 27 000,22 000 ,18 000 , 26 000,21 000 ,17 000 , 25 000,20 000 ,16 000 , 23 000,19 000 ,15 000 , 22 000,18 000 ,14 000 , 21 000,17 000 ,13 000 , 20 000,16 000 ,12 000 , 19 000,15 000 ,11 000 , 18 000,14 000 ,10 000 , 16 000,13 000 ,9500 , 15 000,12 000 ,8600 , 14 000,11 000 ,8000 , 14 000
Cabo Verde,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cambodia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<200 ,<200 , <200,<500 ,<500 , <500,<1000 ,<1000 , <1000,1100 ,<1000 , 1300,1600 ,1400 , 1800,2100 ,1800 , 2400,2500 ,2200 , 2900,2900 ,2600 , 3300,3300 ,2900 , 3800,3600 ,3100 , 4100,3800 ,3300 , 4400,4000 ,3500 , 4600,4200 ,3600 , 4800,4300 ,3800 , 5000,4400 ,3900 , 5100,4600 ,4000 , 5300,4700 ,4000 , 5400,4700 ,4000 , 5500,4600 ,4000 , 5500,4500 ,3900 , 5400,4400 ,3800 , 5200,4200 ,3500 , 5000,4000 ,3400 , 4800,3700 ,3200 , 4500,3500 ,3000 , 4200,3300 ,2800 , 3900
Cameroon,3700 ,3100 , 4500,5100 ,4200 , 6100,6700 ,5600 , 8000,8800 ,7400 , 10 000,11 000 ,9600 , 13 000,14 000 ,12 000 , 17 000,18 000 ,15 000 , 20 000,21 000 ,18 000 , 24 000,25 000 ,22 000 , 29 000,29 000 ,25 000 , 33 000,32 000 ,28 000 , 37 000,36 000 ,32 000 , 40 000,40 000 ,35 000 , 44 000,43 000 ,37 000 , 48 000,46 000 ,40 000 , 51 000,49 000 ,41 000 , 54 000,51 000 ,43 000 , 56 000,53 000 ,45 000 , 58 000,54 000 ,45 000 , 60 000,55 000 ,46 000 , 61 000,55 000 ,45 000 , 61 000,55 000 ,45 000 , 61 000,54 000 ,44 000 , 61 000,53 000 ,43 000 , 60 000,52 000 ,41 000 , 59 000,49 000 ,39 000 , 57 000,47 000 ,37 000 , 55 000,45 000 ,36 000 , 53 000,43 000 ,33 000 , 51 000
