Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Bosnia and Herzegovina,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Botswana,24 000 ,20 000 , 28 000,34 000 ,30 000 , 39 000,48 000 ,43 000 , 53 000,63 000 ,58 000 , 69 000,79 000 ,74 000 , 85 000,95 000 ,90 000 , 100 000,110 000 ,100 000 , 120 000,120 000 ,120 000 , 130 000,130 000 ,130 000 , 140 000,140 000 ,130 000 , 150 000,150 000 ,140 000 , 160 000,150 000 ,140 000 , 160 000,150 000 ,140 000 , 160 000,150 000 ,140 000 , 160 000,160 000 ,140 000 , 170 000,160 000 ,140 000 , 170 000,160 000 ,150 000 , 180 000,170 000 ,150 000 , 180 000,170 000 ,150 000 , 180 000,170 000 ,160 000 , 190 000,180 000 ,160 000 , 190 000,180 000 ,160 000 , 190 000,180 000 ,170 000 , 200 000,190 000 ,170 000 , 200 000,190 000 ,170 000 , 210 000,190 000 ,170 000 , 210 000,200 000 ,180 000 , 210 000,200 000 ,180 000 , 210 000,200 000 ,180 000 , 220 000
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000
Burkina Faso,47 000 ,28 000 , 69 000,53 000 ,33 000 , 75 000,58 000 ,39 000 , 80 000,62 000 ,43 000 , 82 000,64 000 ,48 000 , 82 000,66 000 ,52 000 , 81 000,66 000 ,53 000 , 80 000,66 000 ,54 000 , 80 000,65 000 ,53 000 , 77 000,64 000 ,52 000 , 76 000,62 000 ,51 000 , 74 000,61 000 ,49 000 , 72 000,59 000 ,47 000 , 70 000,57 000 ,45 000 , 67 000,55 000 ,43 000 , 66 000,54 000 ,42 000 , 65 000,53 000 ,41 000 , 65 000,53 000 ,41 000 , 64 000,52 000 ,41 000 , 63 000,52 000 ,42 000 , 63 000,52 000 ,42 000 , 63 000,52 000 ,43 000 , 63 000,53 000 ,43 000 , 63 000,53 000 ,43 000 , 63 000,53 000 ,43 000 , 63 000,53 000 ,43 000 , 63 000,53 000 ,43 000 , 63 000,53 000 ,43 000 , 63 000,53 000 ,43 000 , 63 000
Burundi,42 000 ,19 000 , 75 000,50 000 ,26 000 , 83 000,57 000 ,34 000 , 87 000,62 000 ,41 000 , 88 000,65 000 ,46 000 , 86 000,67 000 ,51 000 , 84 000,66 000 ,54 000 , 82 000,65 000 ,53 000 , 78 000,63 000 ,52 000 , 74 000,60 000 ,49 000 , 71 000,57 000 ,46 000 , 67 000,55 000 ,44 000 , 64 000,53 000 ,42 000 , 61 000,51 000 ,40 000 , 59 000,49 000 ,39 000 , 58 000,48 000 ,39 000 , 56 000,47 000 ,38 000 , 55 000,46 000 ,38 000 , 54 000,45 000 ,37 000 , 53 000,45 000 ,37 000 , 52 000,44 000 ,37 000 , 51 000,44 000 ,37 000 , 51 000,44 000 ,38 000 , 51 000,44 000 ,38 000 , 50 000,44 000 ,38 000 , 51 000,44 000 ,38 000 , 51 000,44 000 ,38 000 , 51 000,44 000 ,39 000 , 51 000,44 000 ,39 000 , 52 000
Cabo Verde,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,1000 ,<1000 , 1300,1100 ,<1000 , 1300,1100 ,<1000 , 1300,1100 ,<1000 , 1300,1100 ,<1000 , 1300,1200 ,<1000 , 1300,1200 ,1000 , 1400,1200 ,1000 , 1400,1200 ,1000 , 1400,1300 ,1100 , 1500
Cambodia,<100 ,<100 , <100,<200 ,<100 , <200,<500 ,<500 , <1000,1600 ,1400 , 1800,4100 ,3700 , 4500,8200 ,7200 , 9000,14 000 ,12 000 , 15 000,19 000 ,17 000 , 21 000,25 000 ,22 000 , 27 000,30 000 ,27 000 , 33 000,33 000 ,30 000 , 37 000,36 000 ,31 000 , 40 000,37 000 ,32 000 , 42 000,38 000 ,33 000 , 43 000,38 000 ,33 000 , 44 000,39 000 ,33 000 , 45 000,39 000 ,34 000 , 46 000,39 000 ,34 000 , 46 000,39 000 ,34 000 , 46 000,39 000 ,34 000 , 46 000,39 000 ,34 000 , 45 000,39 000 ,34 000 , 45 000,39 000 ,34 000 , 45 000,38 000 ,34 000 , 44 000,38 000 ,34 000 , 44 000,38 000 ,33 000 , 43 000,38 000 ,33 000 , 43 000,37 000 ,33 000 , 43 000,37 000 ,32 000 , 42 000
Cameroon,30 000 ,26 000 , 35 000,40 000 ,36 000 , 46 000,54 000 ,47 000 , 61 000,70 000 ,62 000 , 79 000,89 000 ,80 000 , 99 000,110 000 ,98 000 , 120 000,130 000 ,120 000 , 150 000,160 000 ,140 000 , 170 000,180 000 ,170 000 , 200 000,200 000 ,190 000 , 220 000,220 000 ,210 000 , 240 000,240 000 ,220 000 , 260 000,250 000 ,230 000 , 270 000,260 000 ,240 000 , 280 000,270 000 ,250 000 , 290 000,270 000 ,250 000 , 290 000,280 000 ,250 000 , 300 000,290 000 ,260 000 , 310 000,290 000 ,260 000 , 320 000,300 000 ,260 000 , 320 000,300 000 ,270 000 , 330 000,310 000 ,270 000 , 330 000,310 000 ,270 000 , 340 000,320 000 ,280 000 , 340 000,320 000 ,280 000 , 350 000,320 000 ,280 000 , 350 000,320 000 ,280 000 , 350 000,320 000 ,290 000 , 350 000,330 000 ,290 000 , 360 000
