Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Bosnia and Herzegovina,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500
Botswana,19 000 ,16 000 , 22 000,27 000 ,23 000 , 32 000,37 000 ,33 000 , 43 000,48 000 ,44 000 , 55 000,60 000 ,55 000 , 68 000,72 000 ,67 000 , 81 000,84 000 ,78 000 , 92 000,94 000 ,87 000 , 100 000,100 000 ,94 000 , 110 000,110 000 ,100 000 , 120 000,110 000 ,100 000 , 120 000,110 000 ,100 000 , 120 000,120 000 ,100 000 , 120 000,120 000 ,100 000 , 130 000,120 000 ,100 000 , 130 000,120 000 ,110 000 , 130 000,120 000 ,110 000 , 130 000,130 000 ,110 000 , 140 000,130 000 ,110 000 , 140 000,130 000 ,120 000 , 150 000,140 000 ,120 000 , 150 000,140 000 ,120 000 , 150 000,140 000 ,130 000 , 160 000,140 000 ,130 000 , 160 000,150 000 ,130 000 , 160 000,150 000 ,130 000 , 160 000,150 000 ,130 000 , 160 000,150 000 ,130 000 , 170 000,150 000 ,140 000 , 170 000
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,1000 ,<1000 , 1100,1100 ,1000 , 1200,1200 ,1100 , 1400,1400 ,1300 , 1500,1500 ,1400 , 1700,1700 ,1500 , 1800,1800 ,1600 , 2000,2000 ,1800 , 2200,2100 ,1900 , 2400,2300 ,2100 , 2600,2500 ,2200 , 2900,2800 ,2300 , 3200
Burkina Faso,62 000 ,39 000 , 93 000,67 000 ,42 000 , 96 000,70 000 ,46 000 , 97 000,71 000 ,50 000 , 95 000,71 000 ,52 000 , 93 000,70 000 ,55 000 , 89 000,68 000 ,53 000 , 85 000,66 000 ,53 000 , 81 000,64 000 ,50 000 , 77 000,61 000 ,47 000 , 73 000,58 000 ,45 000 , 70 000,55 000 ,44 000 , 66 000,52 000 ,41 000 , 63 000,49 000 ,38 000 , 60 000,47 000 ,36 000 , 57 000,45 000 ,34 000 , 55 000,43 000 ,34 000 , 53 000,43 000 ,33 000 , 52 000,42 000 ,33 000 , 50 000,41 000 ,33 000 , 49 000,41 000 ,33 000 , 48 000,41 000 ,33 000 , 48 000,40 000 ,32 000 , 47 000,39 000 ,32 000 , 46 000,38 000 ,31 000 , 45 000,37 000 ,30 000 , 44 000,36 000 ,29 000 , 43 000,35 000 ,28 000 , 41 000,34 000 ,27 000 , 40 000
Burundi,44 000 ,19 000 , 83 000,49 000 ,26 000 , 85 000,53 000 ,31 000 , 85 000,55 000 ,36 000 , 80 000,56 000 ,39 000 , 77 000,55 000 ,41 000 , 73 000,54 000 ,42 000 , 67 000,51 000 ,42 000 , 64 000,48 000 ,40 000 , 59 000,46 000 ,37 000 , 56 000,43 000 ,35 000 , 52 000,41 000 ,33 000 , 49 000,38 000 ,31 000 , 46 000,36 000 ,29 000 , 44 000,35 000 ,27 000 , 42 000,33 000 ,27 000 , 40 000,32 000 ,26 000 , 39 000,32 000 ,26 000 , 38 000,31 000 ,26 000 , 37 000,30 000 ,25 000 , 36 000,30 000 ,25 000 , 35 000,30 000 ,25 000 , 34 000,29 000 ,25 000 , 34 000,29 000 ,24 000 , 33 000,28 000 ,24 000 , 32 000,28 000 ,24 000 , 32 000,27 000 ,23 000 , 32 000,27 000 ,23 000 , 32 000,27 000 ,23 000 , 32 000
Cabo Verde,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,1000 ,<1000 , 1200,1000 ,<1000 , 1200,1100 ,<1000 , 1200,1100 ,<1000 , 1300,1100 ,<1000 , 1300
Cambodia,<100 ,<100 , <100,<200 ,<200 , <500,<1000 ,<1000 , <1000,2800 ,2500 , 3000,7000 ,6300 , 7700,14 000 ,13 000 , 15 000,23 000 ,20 000 , 25 000,32 000 ,28 000 , 35 000,39 000 ,34 000 , 43 000,43 000 ,38 000 , 48 000,45 000 ,40 000 , 51 000,45 000 ,39 000 , 51 000,43 000 ,38 000 , 51 000,42 000 ,35 000 , 49 000,40 000 ,34 000 , 48 000,39 000 ,32 000 , 48 000,38 000 ,32 000 , 47 000,37 000 ,31 000 , 46 000,37 000 ,31 000 , 45 000,36 000 ,30 000 , 44 000,36 000 ,30 000 , 43 000,36 000 ,30 000 , 42 000,35 000 ,30 000 , 42 000,35 000 ,30 000 , 41 000,35 000 ,30 000 , 40 000,34 000 ,29 000 , 39 000,34 000 ,29 000 , 39 000,33 000 ,28 000 , 38 000,33 000 ,28 000 , 38 000
Cameroon,19 000 ,16 000 , 23 000,25 000 ,21 000 , 30 000,31 000 ,28 000 , 37 000,40 000 ,35 000 , 47 000,50 000 ,44 000 , 58 000,61 000 ,54 000 , 70 000,73 000 ,65 000 , 83 000,85 000 ,76 000 , 97 000,98 000 ,88 000 , 110 000,110 000 ,99 000 , 120 000,120 000 ,110 000 , 140 000,130 000 ,120 000 , 140 000,130 000 ,120 000 , 150 000,140 000 ,120 000 , 150 000,140 000 ,120 000 , 160 000,140 000 ,130 000 , 160 000,150 000 ,130 000 , 170 000,150 000 ,130 000 , 170 000,160 000 ,130 000 , 170 000,160 000 ,140 000 , 180 000,170 000 ,140 000 , 180 000,170 000 ,150 000 , 180 000,170 000 ,150 000 , 190 000,170 000 ,150 000 , 190 000,170 000 ,150 000 , 190 000,170 000 ,150 000 , 190 000,170 000 ,150 000 , 180 000,170 000 ,150 000 , 180 000,170 000 ,150 000 , 190 000
